top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3769 root      20   0   17780   2240   1424 S   0.0  0.0   0:13.29 ovsdb-server
 3774 root      20   0  915452   5220   1716 S   0.0  0.0   5:18.21 ovs-vswitchd
 4415 root      20   0       0      0      0 S   0.0  0.0   0:07.29 kworker/4:1
 5698 root      20   0       0      0      0 S   0.0  0.0   1:23.82 kworker/11:1
 6702 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/23:2
 6940 root      20   0       0      0      0 S   0.0  0.0   0:00.35 kworker/19:2
 6977 www-data  20   0  375516   8272   2256 S   0.0  0.0   1:12.02 apache2
 6978 www-data  20   0  375516   8272   2256 S   0.0  0.0   1:11.88 apache2
 7610 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/17:2
 8439 root      20   0   77656   1496    820 S   0.0  0.0   0:00.10 libvirt_lxc
 8440 root      20   0   18224   2108   1568 S   0.0  0.0   0:00.00 bash
 8468 root      20   0    7704    336    212 S   0.0  0.0   0:00.00 netserver
 8472 root      20   0   43452  17796   1128 S   0.0  0.0   2:41.98 redis-server
 8473 root      20   0  109788   3656   1708 S   0.0  0.0   0:54.76 netLatencyTeste
 8520 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/22:1
 9832 root      20   0       0      0      0 S   0.0  0.0   0:14.59 kworker/5:2
10246 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/11:2
10590 root      20   0       0      0      0 S   0.0  0.0   0:00.18 kworker/21:0
10714 root      20   0       0      0      0 S   0.0  0.0   0:17.37 kworker/0:0
12292 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/16:2
12613 root      20   0       0      0      0 S   0.0  0.0   0:06.94 kworker/2:0
13350 root      20   0       0      0      0 S   0.0  0.0   0:13.87 kworker/7:1
14461 root      20   0       0      0      0 S   0.0  0.0   0:09.66 kworker/10:0
15564 root      20   0  103568   4240   3192 S   0.0  0.0   0:00.01 sshd
15682 eyujugu   20   0  103568   1992    944 S   0.0  0.0   0:01.27 sshd
15683 eyujugu   20   0   22476   5092   1896 S   0.0  0.0   0:01.34 bash
