Location,Test,timestamp,Deployment,Command,Tps
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LRANGE_300 (first 300 elements)","16186.47"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LRANGE_500 (first 450 elements)","11778.56"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LRANGE_600 (first 600 elements)","9458.05"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"MSET (10 keys)","51519.84"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"PING_INLINE","73367.57"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"PING_BULK","75414.78"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"SET","75815.01"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"GET","75244.55"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"INCR","75528.70"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LPUSH","73855.24"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LPOP","69444.45"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"SADD","70175.44"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"SPOP","83402.84"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","76277.65"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LRANGE_100 (first 100 elements)","40966.82"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LRANGE_300 (first 300 elements)","16871.94"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LRANGE_500 (first 450 elements)","12481.28"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"LRANGE_600 (first 600 elements)","9449.12"
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,"MSET (10 keys)","71073.21"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"PING_INLINE","68634.18"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"PING_BULK","60827.25"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"SET","69881.20"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"GET","65963.06"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"INCR","65402.22"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LPUSH","57339.45"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LPOP","62893.08"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"SADD","61728.39"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"SPOP","61199.51"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","60753.34"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LRANGE_100 (first 100 elements)","42105.26"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LRANGE_300 (first 300 elements)","17205.78"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LRANGE_500 (first 450 elements)","12818.87"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"LRANGE_600 (first 600 elements)","9939.37"
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,"MSET (10 keys)","55555.56"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"PING_INLINE","75987.84"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"PING_BULK","78678.20"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"SET","71428.57"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"GET","69396.25"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"INCR","75815.01"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LPUSH","68446.27"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LPOP","68446.27"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"SADD","72046.11"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"SPOP","69637.88"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","72254.34"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LRANGE_100 (first 100 elements)","41614.64"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LRANGE_300 (first 300 elements)","17328.02"
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,"LRANGE_500 (first 450 elements)","12091.90"
